timestamp,sma_20,sma_50,volatility,momentum,label,action
2025-06-23 08:00:00,0.53769,,0.010966285061066606,0.0038503850385038785,buy,buy
2025-06-23 09:00:00,0.5383899999999999,,0.01047911724085385,-0.0012829912023458734,buy,buy
2025-06-23 11:00:00,0.53997,,0.01032940910506212,-0.010025519504192393,buy,buy
2025-06-23 12:00:00,0.540875,,0.010419671619245001,-0.003278688524590234,buy,buy
2025-06-23 16:00:00,0.544105,,0.008424066734059517,-0.014190932546995771,buy,buy
2025-06-23 18:00:00,0.545875,0.545874,0.009606604963509425,0.009502923976608235,buy,buy
2025-06-23 19:00:00,0.5465249999999999,0.5455880000000001,0.00940352080301852,0.0032543843789547555,buy,buy
2025-06-24 01:00:00,0.55537,0.547346,0.010373098424185285,0.047576139845017185,hold,hold
2025-06-24 06:00:00,0.564895,0.5505340000000001,0.011145108656233475,0.0215777662696357,hold,hold
2025-06-24 07:00:00,0.566835,0.551062,0.01184404867985404,0.0010321692757611078,hold,hold
2025-06-24 16:00:00,0.5826049999999999,0.5583100000000001,0.010805634887752696,0.016826923076922906,sell,sell
2025-06-24 17:00:00,0.583685,0.5595680000000001,0.010267290621625834,0.0020516327577362325,hold,hold
2025-06-25 09:00:00,0.584785,0.574104,0.005579684416017571,-0.012842465753424626,hold,hold
2025-06-25 13:00:00,0.583345,0.576918,0.0060907653331881365,-0.0035897435897436214,sell,sell
2025-06-25 15:00:00,0.582295,0.577784,0.007012410340813263,-0.01595836947094531,hold,hold
2025-06-25 18:00:00,0.5793550000000001,0.57932,0.006058071504779105,-0.016637781629116,hold,hold
2025-06-25 21:00:00,0.576745,0.580458,0.006177065594651174,0.001762735765908685,hold,hold
2025-06-26 01:00:00,0.57376,0.580128,0.006342168913848771,0.00017497812773403787,hold,hold
2025-06-26 03:00:00,0.57291,0.579938,0.006839088274246079,0.009326060179482676,hold,hold
2025-06-26 04:00:00,0.5724899999999999,0.579832,0.006847413886514479,0.010606328442637425,hold,hold
2025-06-26 07:00:00,0.5713900000000001,0.579016,0.00680212420341626,0.0012246326102169913,hold,hold
