timestamp,sma_20,sma_50,volatility,momentum,label,action
2025-06-23 11:00:00,16.55,,0.011046329410638359,0.004166666666666652,buy,buy
2025-06-23 15:00:00,16.723499999999998,,0.009326291995947396,-0.02102803738317749,buy,buy
2025-06-23 18:00:00,16.828,16.6804,0.012903434352873827,0.007042253521126751,buy,buy
2025-06-23 20:00:00,16.914,16.703200000000002,0.012846402910531915,0.03180212014134276,buy,buy
2025-06-23 21:00:00,16.9495,16.7152,0.012910624586560948,0.03699284009546533,buy,buy
2025-06-24 01:00:00,17.2325,16.8168,0.013846565979320553,0.049132947976878505,hold,hold
2025-06-24 04:00:00,17.398500000000002,16.8898,0.013737505036490093,0.002774694783573839,hold,hold
2025-06-24 10:00:00,17.7565,17.0478,0.014299567697053718,0.003873824017708971,hold,hold
2025-06-24 16:00:00,18.105999999999998,17.2474,0.012579565780127708,0.014332965821389099,sell,sell
2025-06-24 18:00:00,18.148,17.3278,0.01096754678138478,0.0,hold,hold
2025-06-25 00:00:00,18.1785,17.5766,0.007660986783362085,0.011049723756906049,sell,sell
2025-06-25 03:00:00,18.1615,17.6718,0.00759671639313845,-0.004395604395604269,hold,hold
2025-06-25 04:00:00,18.1645,17.7014,0.007597614787769708,-0.002203856749311228,hold,hold
2025-06-25 12:00:00,18.080000000000002,17.876,0.005932217606646294,-0.00830105146651905,hold,hold
2025-06-25 13:00:00,18.0745,17.8992,0.006072127614588204,0.0,sell,sell
2025-06-25 18:00:00,17.9555,17.9798,0.005659176082271564,-0.017857142857142905,hold,hold
2025-06-25 20:00:00,17.9025,18.0064,0.005575001286013421,-0.003370786516854074,hold,hold
2025-06-25 22:00:00,17.838,18.0124,0.005779740175941562,-0.00624645088018172,hold,hold
2025-06-25 23:00:00,17.8105,18.016199999999998,0.005762186240514157,-0.0062217194570135526,hold,hold
2025-06-26 01:00:00,17.766000000000002,17.9994,0.005963717744938471,-0.002256063169768674,hold,hold
2025-06-26 02:00:00,17.7555,17.996199999999998,0.006348566216256444,0.006764374295377795,hold,hold
2025-06-26 03:00:00,17.741999999999997,17.9884,0.00640626257761161,0.007945516458569779,hold,hold
2025-06-26 04:00:00,17.732000000000003,17.9802,0.0064188517964441335,0.01200000000000001,hold,hold
2025-06-26 05:00:00,17.723,17.971,0.006457872808768164,0.0017074558907228532,hold,hold
2025-06-26 07:00:00,17.697000000000003,17.95,0.006580044392107806,0.002826455624646451,hold,hold
2025-06-26 08:00:00,17.681,17.933000000000003,0.00663368163274761,-0.014557670772676223,hold,hold
2025-06-26 09:00:00,17.651,17.9204,0.006753786244953834,-0.01858108108108114,hold,hold
2025-06-26 10:00:00,17.635,17.909000000000002,0.006609963519341383,-0.012987012987012991,hold,hold
2025-06-26 12:00:00,17.6105,17.878200000000003,0.0065349595116320665,-0.019274376417233507,hold,hold
2025-06-26 15:00:00,17.547,17.826999999999998,0.00568624833130823,-0.0103270223752151,hold,hold
2025-06-26 16:00:00,17.5205,17.8072,0.005678883736134364,-0.015446224256292829,hold,hold
2025-06-26 19:00:00,17.4725,17.7476,0.0055184721465658905,0.007558139534883601,hold,hold
2025-06-27 04:00:00,17.319,17.5972,0.006452449595050371,0.018604651162790642,hold,hold
2025-06-27 07:00:00,17.314500000000002,17.5568,0.006500726077742803,0.00461627236006934,hold,hold
2025-06-27 12:00:00,17.3695,17.51,0.006422442786133912,-0.008022922636103158,hold,hold
2025-06-27 21:00:00,17.446,17.4476,0.007585939378520153,-0.0011402508551880963,buy,buy
2025-06-28 00:00:00,17.4575,17.445,0.007347683468101224,0.022131624927198557,hold,hold
2025-06-28 14:00:00,17.582,17.45,0.0059200511045410945,0.0005668934240361523,hold,hold
2025-06-28 15:00:00,17.6025,17.461,0.005775420516825703,0.0028248587570622874,hold,hold
2025-06-28 20:00:00,17.698500000000003,17.5306,0.0039193363137296055,0.01246458923512761,hold,hold
2025-06-28 22:00:00,17.7375,17.554799999999997,0.003971970599408256,0.01291409320606407,buy,buy
2025-06-29 00:00:00,17.779,17.5842,0.004042278367036022,-0.0016666666666667052,buy,buy
2025-06-29 05:00:00,17.838,17.6376,0.004076668982410598,-0.004451864218141255,hold,hold
2025-06-29 10:00:00,17.94,17.6948,0.003940915726672779,0.01065022421524664,hold,hold
2025-06-29 13:00:00,17.964499999999997,17.726399999999998,0.003910995132658239,-0.0038802660753880502,hold,hold
2025-06-29 14:00:00,17.959,17.738,0.003981184574771784,-0.01050884955752196,hold,hold
