timestamp,sma_short,sma_long,volatility,momentum,action
2025-07-28 07:30:00,4.214074999999999,4.16909,0.004420537648233894,0.018845419847328237,sell
2025-07-28 08:00:00,4.216975,4.1707600000000005,0.004394997318500015,0.008037825059101555,sell
2025-07-28 08:30:00,4.218975,4.1724,0.004397155453564771,0.0009407337723426057,sell
2025-07-28 09:00:00,4.221475,4.17413,0.004347687346683072,0.007554296506137925,sell
2025-07-28 09:30:00,4.224375,4.175949999999999,0.004349501222598361,0.006592889098187005,sell
2025-07-28 10:00:00,4.2265749999999995,4.17746,0.004348022002685856,0.0002349624060149491,sell
2025-07-28 10:30:00,4.2289,4.1790199999999995,0.00425361478080948,-0.005852059925093744,sell
2025-07-28 11:00:00,4.230874999999999,4.18038,0.004323729842291609,-0.017449976733364347,sell
2025-07-28 11:30:00,4.2322500000000005,4.18164,0.004270256738056159,-0.01767441860465102,sell
2025-07-28 12:00:00,4.2328,4.1829,0.004268393228510493,-0.013538748832866432,sell
2025-07-28 12:30:00,4.233625,4.18399,0.00422063466388859,-0.021855382469193274,sell
2025-07-28 13:00:00,4.233175,4.18464,0.004447870539465002,-0.025040954832670104,sell
2025-07-28 13:30:00,4.232325,4.18515,0.004447881247985777,-0.026691641301802793,sell
2025-07-28 14:00:00,4.229425,4.18501,0.0050693948419678935,-0.04174484052532834,sell
2025-07-28 14:30:00,4.22695,4.18487,0.0050542469864561625,-0.03853383458646631,sell
2025-07-28 15:00:00,4.2253,4.184889999999999,0.005104287318016605,-0.0363167760074975,sell
2025-07-28 15:30:00,4.222575000000001,4.184410000000001,0.0052231943558311835,-0.04771929824561416,sell
2025-07-28 16:00:00,4.219424999999999,4.18385,0.005060061708561192,-0.04557199906037113,sell
2025-07-28 16:30:00,4.21665,4.18323,0.004970473901471343,-0.043560160113020885,sell
2025-07-28 17:00:00,4.2138,4.18276,0.004962923447354882,-0.03646696661141369,sell
2025-07-28 17:30:00,4.20985,4.18177,0.005015782620718167,-0.042613636363636465,sell
2025-07-28 18:00:00,4.2043,4.18044,0.00510305409501111,-0.05087553241836251,sell
2025-07-28 18:30:00,4.19855,4.1790899999999995,0.005097182533711184,-0.04753981459472312,sell
2025-07-28 19:00:00,4.1937,4.17807,0.005165280331542491,-0.033125300048007844,sell
2025-07-28 19:30:00,4.187875,4.17692,0.005202810866611162,-0.03608371421698353,sell
2025-07-28 20:00:00,4.18055,4.17531,0.005354744885966095,-0.029368575624082238,hold
2025-07-28 20:30:00,4.174525000000001,4.17336,0.005365060873352085,-0.028347996089931438,sell
