imestamp,open,high,low,close,volume,sma_short,sma_long,volatility,momentum,label,action
2025-06-27 12:00:00,645.53,648.0,643.8,644.18,8391.851,,,,,hold,hold
2025-06-27 16:00:00,646.61,648.44,646.0,646.01,3690.562,,,,0.0018144035729792396,hold,hold
2025-06-27 19:00:00,642.99,645.56,642.47,645.3,2113.793,,,,-0.0004182350480971264,hold,hold
2025-06-27 20:00:00,645.31,646.34,645.01,646.29,1948.264,,,,0.0016428250391331556,hold,hold
2025-06-28 16:00:00,646.62,647.2,645.5,645.8,3072.607,645.914,,0.0015319012503090645,-0.0013299106176352105,hold,hold
2025-06-29 01:00:00,648.2,648.36,647.34,647.36,1649.87,646.9970000000001,,0.001216301570129498,-0.00030885168941863217,hold,hold
2025-06-29 19:00:00,649.3,649.37,648.31,648.65,1094.503,649.241,647.4608000000001,0.0008740766942685705,-0.0022304260882941573,buy,buy
2025-06-29 21:00:00,647.98,648.99,646.72,648.88,2240.235,649.3055,647.6321999999999,0.0009316661470788733,-0.0001848998459168527,buy,buy
2025-06-29 23:00:00,654.24,656.0,653.98,654.9,4560.939,649.9024999999999,647.96,0.0019181083181807198,0.009464208644182737,hold,hold
2025-06-30 14:00:00,652.94,654.0,651.17,651.41,6151.959,653.0635,650.3374,0.002193514468075051,-0.0032134167801564084,hold,hold
2025-06-30 16:00:00,656.52,659.01,655.24,658.34,9173.154,653.975,650.8016,0.0027315299335722476,0.00800783941449379,hold,hold
2025-06-30 17:00:00,658.34,658.72,657.6,658.0,3491.965,654.4309999999999,651.0292000000001,0.0027365414802247683,0.005870123517182302,hold,hold
2025-06-30 20:00:00,659.37,660.0,658.62,658.75,3962.794,655.0215000000001,651.7414,0.0027646319137354385,0.011267865092645213,hold,hold
2025-06-30 21:00:00,658.75,658.99,656.52,656.91,2097.747,655.1875,651.9284,0.002849215638788048,0.0005940413087186514,hold,hold
2025-06-30 22:00:00,656.91,657.96,656.58,657.12,1620.096,655.3444999999999,652.1134,0.0023233968469701027,-0.0018531457909287674,hold,hold
2025-06-30 23:00:00,657.12,657.69,656.61,656.9,1469.794,655.4190000000001,652.2852,0.00231888222487379,-0.0016717325227963986,hold,hold
2025-07-01 01:00:00,658.15,658.89,657.61,658.02,1874.582,655.7209999999999,652.6604,0.002312140620653051,-0.002032273719970945,hold,hold
2025-07-01 02:00:00,658.02,658.86,656.68,656.92,2918.625,655.8934999999999,652.8346,0.0023449356563793582,-0.0027779886148008304,hold,hold
2025-07-01 03:00:00,656.93,657.0,654.76,655.77,4299.236,655.952,653.0028,0.0023368556319061785,-0.0017353975430424162,hold,hold
2025-07-01 04:00:00,655.77,655.78,652.38,652.5,4560.286,655.9014999999999,653.0822000000001,0.002548884750581646,-0.00703067932797663,hold,hold
2025-07-01 06:00:00,652.37,653.8,651.74,653.53,2781.149,655.9325,653.245,0.00252167858072339,-0.0070196763655702155,hold,hold
2025-07-01 10:00:00,652.94,653.26,652.08,653.1,3758.113,655.946,653.5293999999999,0.002482145836390792,0.0009195402298851629,hold,hold
2025-07-01 15:00:00,647.17,647.5,645.64,645.98,4113.696,653.8304999999999,653.4508000000001,0.0021635273358325273,-0.010644326344324662,buy,buy
2025-07-01 17:00:00,646.2,646.75,645.7,646.37,2535.469,652.6754999999999,653.3421999999999,0.002059519737194547,-0.009045333987459103,buy,buy
2025-07-02 00:00:00,646.34,646.59,645.37,645.55,1827.852,648.938,652.821,0.001939401232599414,0.0008527131782944952,buy,buy
2025-07-02 01:00:00,645.55,647.8,643.71,647.14,3551.876,648.6764999999999,652.6658,0.0020485017211144844,0.002307751877952402,buy,buy
2025-07-02 13:00:00,656.22,658.3,656.22,657.89,3269.096,651.3405,652.8706,0.002598909950763645,0.000851931297825903,hold,hold
2025-07-02 21:00:00,662.88,663.1,661.72,662.05,4302.705,657.98,653.9308,0.0023419263582630705,0.000619672329363441,hold,hold
2025-07-03 05:00:00,659.49,662.58,659.4,660.76,6355.425,660.5255,654.3817999999999,0.0024797064928534086,0.001591608434008851,hold,hold
2025-07-03 06:00:00,660.76,661.6,660.25,661.24,2979.495,660.7055,654.5566,0.0019461618117144325,0.0020609807843849914,hold,hold
2025-07-03 19:00:00,660.52,661.9,660.52,661.57,1556.974,660.858,657.3236,0.002626287365150158,-0.0034945548208286104,hold,hold
2025-07-03 20:00:00,661.57,662.5,661.56,661.75,1978.408,660.9514999999999,657.6586,0.002611820028315384,-0.0010868416683019744,hold,hold
2025-07-04 01:00:00,662.28,663.55,661.9,662.03,1952.901,661.702,659.3484,0.002559404909203336,0.0006953156884379474,hold,hold
2025-07-04 04:00:00,662.04,662.09,659.81,659.98,2832.062,661.568,660.1752,0.0026480468603711526,-0.00557497589199607,hold,hold
2025-07-04 08:00:00,655.93,657.79,654.69,657.75,5475.244,660.7235,660.6922,0.0027724997674758375,-0.004630680528442288,hold,hold
2025-07-04 09:00:00,657.75,658.55,657.3,657.8,2331.535,660.419,660.7016,0.0026782923377526293,-0.006404446861216884,hold,hold
2025-07-04 12:00:00,659.63,660.1,658.3,658.73,3906.554,660.3915,660.7442,0.0027014381329176777,0.0008052263749620536,hold,hold
2025-07-04 19:00:00,651.33,652.49,650.76,651.52,1482.022,657.345,659.801,0.0021461594857764455,-0.006344558321132232,hold,hold
2025-07-05 03:00:00,654.75,656.13,654.7,656.0,2924.175,654.9295,658.5736,0.002186732986654118,0.004809606960144652,hold,hold
2025-07-05 05:00:00,655.3,656.75,655.14,655.71,2037.066,654.7030000000001,658.4234,0.00211597755462318,0.0032282741738065557,hold,hold
2025-07-05 17:00:00,653.7,654.18,652.0,653.62,4155.046,654.7845,656.7941999999999,0.0012553099141215608,-0.0026398107881284716,buy,buy
2025-07-05 18:00:00,653.62,653.62,652.32,652.68,2703.524,654.7145,656.678,0.001109155538042426,-0.0037549226119608647,buy,buy
2025-07-06 05:00:00,653.97,654.25,653.61,654.18,1015.782,654.8415,655.2174,0.0011010603129129606,-0.003017556693489465,hold,hold
2025-07-06 19:00:00,662.25,663.58,662.18,663.07,3286.722,657.7385,655.7711999999999,0.0016576016460650717,0.002479476286228577,hold,hold
2025-07-07 18:00:00,659.11,660.9,658.5,660.9,5379.952,661.257,659.0169999999999,0.0019070576256958933,-0.0008768216726129374,hold,hold
2025-07-08 10:00:00,660.37,661.0,659.26,659.99,7579.134,659.807,660.6419999999999,0.0019037548822622254,0.0007581616097287469,hold,hold
2025-07-08 11:00:00,659.99,661.69,659.99,661.11,3458.97,659.9114999999999,660.7841999999999,0.0019319211849933532,0.0025324517772655764,hold,hold
2025-07-08 21:00:00,658.81,659.9,657.75,659.85,2741.224,659.951,660.6741999999999,0.00189746702974011,0.0025372998267951807,hold,hold
2025-07-08 22:00:00,659.84,660.12,658.73,660.07,1101.729,660.0435,660.6555999999999,0.0018987624084867828,0.00211028116839751,buy,buy
2025-07-09 00:00:00,660.63,661.58,660.06,661.58,2211.954,660.192,660.57,0.0019094955375532831,-0.00027200193423593255,buy,buy
2025-07-09 06:00:00,664.13,664.55,663.09,663.57,3003.218,660.8610000000001,660.6505999999999,0.0017855860912681454,0.003007950663562964,hold,hold
2025-07-09 10:00:00,660.19,660.65,659.05,660.65,3989.514,660.9680000000001,660.5618,0.0018954861654253649,-0.0021900015103459847,buy,buy
2025-07-09 13:00:00,662.23,663.02,661.9,662.06,5283.41,661.3655,660.5426000000001,0.0018922024671095808,-0.0008300508594800693,buy,buy
2025-07-09 16:00:00,662.46,663.44,662.0,662.81,5232.463,661.6450000000001,660.6106,0.0015727743631078186,0.003269507303413244,buy,buy
2025-07-09 19:00:00,664.96,670.0,664.92,669.26,15676.469,662.464,661.0391999999999,0.0019920106782059365,0.0108751472676194,hold,hold
2025-07-10 02:00:00,669.39,670.94,669.3,670.64,6073.962,664.827,662.1998,0.0022685849185202895,0.006332342966897775,buy,buy
2025-07-10 04:00:00,670.5,672.9,670.1,672.44,4241.165,665.7955,662.7232,0.002321872065201501,0.003521967526265435,buy,buy
2025-07-10 06:00:00,673.07,673.09,670.0,670.35,6164.386,666.924,663.2066,0.00243872404422509,0.0007314961335205261,buy,buy
2025-07-10 07:00:00,670.36,672.36,670.25,671.66,7077.606,667.4395,663.451,0.0024239079848713796,0.003391147163835706,buy,buy
