timestamp,sma_short,sma_long,volatility,momentum,label,action
2025-07-15 11:00:00,,,,,buy,buy
2025-07-15 11:30:00,,,,,buy,buy
2025-07-15 12:00:00,,,,,buy,buy
2025-07-15 12:30:00,,,,,buy,buy
2025-07-15 13:00:00,,,,,buy,buy
2025-07-15 13:30:00,,,,,buy,buy
2025-07-15 14:00:00,,,,,buy,buy
2025-07-15 14:30:00,,,,,buy,buy
2025-07-15 15:00:00,,,,,buy,buy
2025-07-15 15:30:00,,,,,buy,buy
2025-07-15 16:00:00,,,,,buy,buy
2025-07-15 16:30:00,,,,,buy,buy
2025-07-15 17:00:00,,,,0.0257633587786259,buy,buy
2025-07-15 18:00:00,,,,0.03288846520495725,buy,buy
2025-07-15 18:30:00,,,,0.012310606060605966,buy,buy
2025-07-15 19:00:00,,,,0.014191106906338735,buy,buy
2025-07-15 19:30:00,,,,0.0033112582781456013,buy,buy
2025-07-15 20:00:00,,,,0.017992424242424088,buy,buy
2025-07-15 20:30:00,,,,0.0395180722891566,buy,buy
2025-07-15 22:00:00,,,,0.04249291784702547,buy,buy
2025-07-15 22:30:00,,,,0.046522556390977465,hold,hold
2025-07-15 23:00:00,,,,0.041860465116279055,hold,hold
2025-07-15 23:30:00,,,,0.03304268012849931,hold,hold
2025-07-16 00:00:00,,,,0.027226580526072963,buy,buy
2025-07-16 00:30:00,,,,0.04490177736202061,hold,hold
2025-07-16 01:00:00,,,,0.041044776119402826,hold,hold
2025-07-16 01:30:00,,,,0.04526166902404527,hold,hold
2025-07-16 02:00:00,,,,0.016744186046511622,buy,buy
2025-07-16 02:30:00,,,,0.01066295781177562,buy,buy
2025-07-16 03:00:00,,,,0.0013774104683195176,hold,hold
2025-07-16 03:30:00,,,,-0.01273306048203715,hold,hold
2025-07-16 04:00:00,,,,-0.011322463768115965,hold,hold
2025-07-16 04:30:00,,,,-0.01526717557251911,hold,hold
2025-07-16 05:00:00,,,,-0.020982142857142838,hold,hold
2025-07-16 05:30:00,,,,-0.030208796090626544,buy,buy
2025-07-16 06:00:00,,,,-0.016172506738544645,buy,buy
