timestamp,sma_short,sma_long,volatility,momentum,label,action
2025-07-06 21:00:00,108384.2095,108213.7516,0.0018549547511778613,0.0027754212601160955,hold,hold
2025-07-06 22:00:00,108442.64499999999,108244.48599999999,0.0018526853264155723,0.003415584420356499,hold,hold
2025-07-06 23:00:00,108500.3125,108270.33879999998,0.0018561285370200056,0.0026131292530371386,hold,hold
2025-07-07 00:00:00,108542.0105,108281.7012,0.002017575471106487,0.0033105918378995014,hold,hold
2025-07-07 01:00:00,108592.7995,108302.399,0.002042262049639689,0.004428568453983983,hold,hold
2025-07-07 02:00:00,108654.92649999999,108325.7692,0.002085886928956882,0.0064330463025652485,hold,hold
2025-07-07 03:00:00,108722.3845,108353.936,0.0020829915784057918,0.0016593984428832087,hold,hold
2025-07-07 04:00:00,108778.5575,108375.15319999999,0.0021557453652426067,-0.0009155100494164792,hold,hold
2025-07-07 05:00:00,108840.05649999999,108393.6586,0.0021625607026238298,-0.001134117628098008,hold,hold
2025-07-07 06:00:00,108879.23499999999,108406.3954,0.0022535762090688826,-0.0004463208031165733,hold,hold
2025-07-07 07:00:00,108928.4885,108425.1044,0.002293500557145609,0.00038479485205944464,hold,hold
2025-07-07 08:00:00,108967.424,108439.922,0.002295399817969882,-0.0032260919720582537,hold,hold
2025-07-07 09:00:00,108971.2685,108455.83399999999,0.002297309007117794,-0.004940237849218931,hold,hold
2025-07-07 10:00:00,108957.813,108468.5174,0.0023267161248513753,-0.004257265708122793,hold,hold
2025-07-07 11:00:00,108944.61399999999,108479.7964,0.002325767630251026,-0.004015218556584155,hold,hold
2025-07-07 12:00:00,108919.1105,108485.02879999999,0.0023846897532642103,-0.003931528069538337,hold,hold
2025-07-07 13:00:00,108899.9915,108493.52140000001,0.002176148580236613,-0.004806847685718929,hold,hold
2025-07-07 14:00:00,108887.949,108495.0128,0.0022215808905968657,-0.0072337189494338094,hold,hold
2025-07-07 15:00:00,108875.6555,108498.3448,0.0022293749479343735,-0.005112308732845294,hold,hold
2025-07-07 16:00:00,108841.2275,108494.0184,0.0022956098690500837,-0.006324349504813642,hold,hold
2025-07-07 17:00:00,108777.97249999999,108491.72139999998,0.0022874850091901384,-0.006432686582289904,hold,hold
2025-07-07 18:00:00,108717.7625,108490.17219999999,0.0021479089502039425,-0.002974890363679261,hold,hold
2025-07-07 19:00:00,108660.40450000002,108489.50420000002,0.0021426496994724287,-0.004423935688564362,hold,hold
2025-07-07 20:00:00,108613.5935,108487.0412,0.002140449673365045,-0.003107376111984861,hold,hold
2025-07-07 21:00:00,108570.98449999999,108487.54460000001,0.0019280471554132188,-0.00116019018475777,hold,hold
2025-07-07 22:00:00,108503.72,108485.9942,0.0019336211759665958,0.00039193564624140365,hold,hold
2025-07-07 23:00:00,108447.3935,108489.45300000001,0.0020116107972735974,0.0029625779866533364,hold,hold
2025-07-08 00:00:00,108405.9565,108491.68340000002,0.001901551561504436,0.0025499763803646935,hold,hold
2025-07-08 01:00:00,108337.2085,108481.8216,0.0021364184319486762,-0.003254310608099331,hold,hold
2025-07-08 02:00:00,108286.7935,108473.0058,0.0020039788815946684,-0.0011183012572895112,hold,hold
2025-07-08 03:00:00,108228.8155,108466.67120000001,0.002033453235682351,-0.0024538918773248097,hold,hold
2025-07-08 04:00:00,108179.1925,108465.85559999998,0.0020222653419900783,9.257610900093027e-08,hold,hold
2025-07-08 05:00:00,108147.2865,108469.06460000001,0.002071407111709813,-0.00048031209941279407,hold,hold
2025-07-08 06:00:00,108129.0655,108475.27679999999,0.002014820511265172,-2.49307502253604e-06,hold,hold
2025-07-08 07:00:00,108121.1955,108484.90200000002,0.0019668069311177955,0.007238102064499596,hold,hold
2025-07-08 08:00:00,108116.97099999999,108487.70959999999,0.002001724342266665,0.004604040970174417,hold,hold
2025-07-08 09:00:00,108113.62849999999,108496.30320000001,0.0020331282499857412,0.005268415125199377,hold,hold
2025-07-08 10:00:00,108144.10999999999,108512.8532,0.0021239726080296037,0.007531343490289277,hold,hold
2025-07-08 11:00:00,108167.299,108530.98040000001,0.002129160881333279,0.0050404330652704665,hold,hold
2025-07-08 12:00:00,108215.91299999999,108550.1456,0.0020723407153207364,0.005996968413214843,hold,hold
2025-07-08 13:00:00,108270.486,108569.3176,0.0020507509139279126,0.005069843547393482,hold,hold
2025-07-08 14:00:00,108288.0595,108572.1778,0.0023374211393143553,0.001049672296077775,hold,hold
2025-07-08 15:00:00,108298.643,108562.1014,0.0023435916557622187,-0.0018589473457129024,hold,hold
2025-07-08 16:00:00,108326.269,108552.2238,0.002279794156503862,-0.00361472008844399,hold,hold
2025-07-08 17:00:00,108367.47150000001,108553.924,0.0024861029098558985,0.002157390872828957,hold,hold
2025-07-08 18:00:00,108423.88799999999,108559.7368,0.0024941516860745804,0.0018207569969084236,hold,hold
2025-07-08 19:00:00,108449.335,108556.79,0.0026168350101488987,-0.0024096018686176057,buy,buy
2025-07-08 20:00:00,108465.8625,108560.12100000001,0.002609045604174896,0.002348674983391197,hold,hold
2025-07-08 21:00:00,108525.106,108567.1498,0.0026013598140359395,0.005740828229117589,hold,hold
2025-07-08 22:00:00,108582.6465,108572.18059999999,0.0025776975627586967,0.004404673321137809,buy,buy
2025-07-08 23:00:00,108633.7195,108566.4752,0.002545819415224079,-0.0006240882274684001,buy,buy
2025-07-09 00:00:00,108679.777,108560.7084,0.0025458242968116945,-0.0018980726641988355,hold,hold
2025-07-09 01:00:00,108708.268,108552.24680000002,0.0022684470795728447,8.16387470732316e-05,buy,buy
