timestamp,sma_20,sma_50,volatility,momentum,action
2025-06-22 22:00:00,,,,0.021268466632704985,buy
2025-06-23 02:00:00,,,,0.019122896481386986,buy
2025-06-23 03:00:00,,,,0.023416506717850227,buy
2025-06-23 08:00:00,,,,0.01238428821616222,buy
2025-06-23 09:00:00,,,,0.012003000750187454,buy
2025-06-23 11:00:00,79.92349999999999,,,0.0009910802775023875,buy
2025-06-23 12:00:00,80.08149999999999,,,0.012143742255266377,hold
2025-06-23 15:00:00,80.545,,0.007629966453808349,0.002100321225599222,buy
2025-06-23 23:00:00,81.884,,0.008392214815181811,0.03561409928040016,hold
2025-06-24 19:00:00,84.5885,82.4808,0.006062867302086215,0.004518430439952592,hold
2025-06-24 20:00:00,84.59649999999999,82.61840000000001,0.0061473122123714774,0.008647239990523525,hold
2025-06-25 19:00:00,84.7585,84.5934,0.0035696586196785427,-0.003524022083871703,hold
2025-06-25 20:00:00,84.751,84.6366,0.003171134720837794,0.0012973227974997226,hold
2025-06-26 01:00:00,84.685,84.70459999999999,0.003444218290333462,0.002239773664977074,hold
2025-06-26 04:00:00,84.6935,84.72059999999999,0.0034477320542160585,0.00794686276835499,hold
2025-06-26 13:00:00,84.936,84.81020000000001,0.0034287114897772657,-0.015436791018594409,hold
2025-06-26 17:00:00,84.9185,84.83319999999999,0.00402760226335563,-0.007772020725388518,hold
2025-06-26 18:00:00,84.9225,84.8194,0.004041371878543741,-0.0013017751479289519,hold
2025-06-26 19:00:00,84.9385,84.82520000000001,0.004240149460769144,0.009502316189571092,hold
2025-06-26 22:00:00,84.8875,84.8258,0.004480955617502334,0.001543942992874081,hold
2025-06-27 07:00:00,84.711,84.8048,0.0056933498418719804,-0.004703115814226777,hold
2025-06-27 16:00:00,84.536,84.70460000000001,0.005185497412399978,0.0001183291918114282,buy
2025-06-27 17:00:00,84.4825,84.693,0.005711487578094762,-0.010189573459715606,buy
2025-06-28 00:00:00,84.4125,84.6984,0.005588093153140499,0.016892296633520987,hold
2025-06-28 08:00:00,84.66650000000001,84.7216,0.0043304737211395114,0.0019981194170193284,hold
2025-06-28 17:00:00,85.506,84.8952,0.003126070182450196,0.02119189790422671,hold
2025-06-28 19:00:00,85.67750000000001,84.99060000000001,0.00340425767739076,0.009351256575102163,hold
2025-06-29 07:00:00,86.3225,85.3636,0.003628448819352275,0.008605651819979077,hold
2025-06-29 08:00:00,86.39099999999999,85.3982,0.003602458002057714,0.006491248406166772,hold
2025-06-29 20:00:00,86.6195,86.014,0.0021151489131703703,0.0015021955165241963,hold
2025-06-30 15:00:00,86.5835,86.5588,0.005304242351241133,0.004205607476635453,hold
2025-06-30 21:00:00,86.228,86.54179999999998,0.006083383698653459,0.010469986040018586,sell
2025-06-30 22:00:00,86.1725,86.55239999999999,0.005170726124643451,0.004299825682742675,sell
2025-07-01 10:00:00,86.22,86.48219999999999,0.005428744517197809,-0.0027942717429269015,hold
2025-07-01 17:00:00,85.697,86.2236,0.0055323518331728775,-0.015750787539376865,buy
2025-07-01 18:00:00,85.5655,86.1644,0.005658067762669685,-0.016433853738701654,buy
2025-07-02 02:00:00,84.4505,85.5434,0.005058605292964677,0.0020386137426549045,buy
2025-07-02 09:00:00,83.8545,85.123,0.0043818484642621286,0.0027446300715991967,buy
2025-07-02 23:00:00,85.792,85.28560000000002,0.0050003191070150535,0.00022909507445589838,hold
2025-07-03 06:00:00,87.2775,85.5914,0.005459370377232531,0.03147173266193648,hold
2025-07-03 07:00:00,87.61699999999999,85.6944,0.005526673803609944,0.04117108874656927,sell
2025-07-03 09:00:00,88.301,85.89679999999998,0.0059198851625557975,0.04579025110782875,sell
2025-07-03 13:00:00,89.22200000000001,86.3336,0.006353006456373397,0.002306678383128258,sell
2025-07-03 21:00:00,90.0185,87.1574,0.006864792019839944,0.0046088129496404395,hold
2025-07-04 06:00:00,89.39250000000001,88.07679999999999,0.007011299444637441,-0.00860409826785924,hold
2025-07-04 20:00:00,87.597,88.6508,0.005233624492584751,-0.007112538717448769,hold
2025-07-04 21:00:00,87.49350000000001,88.62299999999999,0.005233305899160948,-0.0005773005426624733,hold
2025-07-05 19:00:00,86.534,87.359,0.003415917587906686,0.003121748178980255,hold
2025-07-05 21:00:00,86.6085,87.26540000000001,0.0037203956184318214,0.009946796206338204,hold
2025-07-05 22:00:00,86.656,87.223,0.0035699226644387524,0.012847222222222232,hold
2025-07-06 03:00:00,86.824,87.0582,0.003518338413475113,-0.003092075125973426,hold
2025-07-06 12:00:00,87.0495,86.86040000000001,0.0033919411123150985,0.004366812227074357,hold
2025-07-06 15:00:00,87.2655,86.8712,0.0033608433485311866,0.017107848803606496,hold
2025-07-06 22:00:00,87.38449999999999,87.00480000000002,0.0029645452267851448,-0.004203112575258516,hold
2025-07-07 05:00:00,87.648,87.12559999999999,0.003020369105830202,0.004579278763594763,hold
2025-07-07 13:00:00,87.4955,87.271,0.002985256546214864,-0.007732544916988826,hold
2025-07-07 16:00:00,87.2745,87.23380000000002,0.003737857334883858,-0.01801698416341524,hold
2025-07-07 18:00:00,87.06450000000001,87.2026,0.003701899356959314,-0.011082890787347144,hold
2025-07-08 04:00:00,86.1985,86.9614,0.0036003480653808645,0.0005818689631094109,hold
2025-07-08 11:00:00,86.048,86.9058,0.003790049239968532,0.003129709052973384,hold
2025-07-08 19:00:00,86.47200000000001,86.76859999999999,0.003313505586598529,0.007964908230405188,buy
2025-07-08 20:00:00,86.5215,86.76,0.003412847444112896,0.008694644099234816,buy
