timestamp,open,high,low,close,volume
2025-05-31 13:00:00,86.47,87.13,86.35,86.57,20771.936
2025-05-31 14:00:00,86.56,87.19,86.47,87.11,11071.46
2025-05-31 15:00:00,87.11,87.71,86.92,87.02,18846.464
2025-05-31 16:00:00,87.01,87.88,86.8,87.75,13382.479
2025-05-31 17:00:00,87.75,87.93,87.15,87.2,13441.289
2025-05-31 18:00:00,87.2,87.5,87.03,87.32,11581.066
2025-05-31 19:00:00,87.31,87.78,87.31,87.56,8242.98
2025-05-31 20:00:00,87.56,87.69,87.35,87.61,7045.693
2025-05-31 21:00:00,87.61,87.92,87.5,87.82,13973.769
2025-05-31 22:00:00,87.82,87.89,87.27,87.29,6088.958
2025-05-31 23:00:00,87.29,87.72,86.97,87.03,10305.894
2025-06-01 00:00:00,87.03,87.11,86.66,87.08,10440.596
2025-06-01 01:00:00,87.07,87.39,86.34,86.62,11229.144
2025-06-01 02:00:00,86.62,87.2,86.17,87.02,7805.728
2025-06-01 03:00:00,87.02,87.2,86.45,87.07,6161.856
2025-06-01 04:00:00,87.06,87.57,86.94,87.41,5255.829
2025-06-01 05:00:00,87.41,87.49,86.97,87.1,6159.403
2025-06-01 06:00:00,87.09,87.12,86.57,86.62,8914.543
2025-06-01 07:00:00,86.63,86.75,86.33,86.63,6183.473
2025-06-01 08:00:00,86.63,86.78,86.36,86.64,9858.613
2025-06-01 09:00:00,86.65,86.9,85.74,86.27,16319.792
2025-06-01 10:00:00,86.27,86.65,86.08,86.51,8810.365
2025-06-01 11:00:00,86.51,87.01,86.32,86.75,7234.879
2025-06-01 12:00:00,86.76,86.97,86.22,86.57,7651.433
2025-06-01 13:00:00,86.56,87.92,86.52,87.49,18617.008
2025-06-01 14:00:00,87.49,87.9,87.39,87.49,12590.971
2025-06-01 15:00:00,87.49,87.77,87.27,87.74,9645.63
2025-06-01 16:00:00,87.74,88.45,87.5,88.14,29310.973
2025-06-01 17:00:00,88.15,88.22,87.81,88.06,11495.581
2025-06-01 18:00:00,88.05,88.05,86.77,87.45,12141.978
2025-06-01 19:00:00,87.45,88.06,87.42,88.04,8675.0
2025-06-01 20:00:00,88.04,88.23,87.67,87.84,4887.257
2025-06-01 21:00:00,87.84,88.34,87.79,88.31,5498.9
2025-06-01 22:00:00,88.3,88.56,88.17,88.3,7694.09
2025-06-01 23:00:00,88.3,88.72,88.29,88.39,6583.068
2025-06-02 00:00:00,88.39,88.51,88.08,88.25,11404.36
2025-06-02 01:00:00,88.26,88.6,87.9,87.93,10268.092
2025-06-02 02:00:00,87.92,87.97,87.43,87.48,10276.138
2025-06-02 03:00:00,87.49,87.58,86.98,87.37,12535.252
2025-06-02 04:00:00,87.37,87.75,87.24,87.4,6310.645
2025-06-02 05:00:00,87.4,87.82,87.23,87.63,6658.292
2025-06-02 06:00:00,87.62,88.41,87.42,88.12,9918.864
2025-06-02 07:00:00,88.12,89.94,88.12,89.06,38009.589
2025-06-02 08:00:00,89.06,89.66,88.51,88.74,15509.173
2025-06-02 09:00:00,88.75,89.06,88.14,88.23,16238.345
2025-06-02 10:00:00,88.23,88.53,87.8,88.4,19266.854
2025-06-02 11:00:00,88.39,88.46,87.64,87.87,8478.12
2025-06-02 12:00:00,87.86,88.62,87.67,88.59,11117.55
2025-06-02 13:00:00,88.59,88.71,87.65,87.71,12700.098
2025-06-02 14:00:00,87.71,88.65,87.36,88.19,16511.396
2025-06-02 15:00:00,88.19,88.7,87.84,88.43,8438.314
2025-06-02 16:00:00,88.43,88.45,87.72,87.96,12182.619
2025-06-02 17:00:00,87.97,88.56,87.73,88.44,8503.693
2025-06-02 18:00:00,88.44,89.15,88.39,88.67,24038.198
2025-06-02 19:00:00,88.68,89.02,88.01,88.63,11056.51
2025-06-02 20:00:00,88.64,89.21,88.62,88.86,9544.484
2025-06-02 21:00:00,88.86,89.2,88.72,89.19,8971.413
2025-06-02 22:00:00,89.18,89.82,89.18,89.51,12176.798
2025-06-02 23:00:00,89.51,89.97,89.46,89.52,13240.161
2025-06-03 00:00:00,89.52,90.31,89.34,90.09,13170.403
2025-06-03 01:00:00,90.09,90.58,90.0,90.51,10480.273
2025-06-03 02:00:00,90.51,90.58,89.67,89.74,13016.693
2025-06-03 03:00:00,89.73,89.85,89.36,89.5,9489.986
2025-06-03 04:00:00,89.5,89.52,89.04,89.16,8705.745
2025-06-03 05:00:00,89.17,89.79,89.17,89.73,7802.748
2025-06-03 06:00:00,89.73,89.88,89.43,89.87,12045.426
2025-06-03 07:00:00,89.88,89.98,89.41,89.47,6490.491
2025-06-03 08:00:00,89.47,89.66,88.99,89.46,29541.781
2025-06-03 09:00:00,89.46,89.77,89.35,89.69,8843.045
2025-06-03 10:00:00,89.69,89.69,89.03,89.24,31667.447
2025-06-03 11:00:00,89.24,89.34,88.76,88.95,16333.764
2025-06-03 12:00:00,88.95,89.2,88.71,89.04,10337.909
2025-06-03 13:00:00,89.04,89.64,88.96,89.37,15774.535
2025-06-03 14:00:00,89.37,90.16,88.9,90.12,16257.691
2025-06-03 15:00:00,90.12,90.25,89.75,89.86,16824.387
2025-06-03 16:00:00,89.87,90.06,89.56,89.59,15706.76
2025-06-03 17:00:00,89.58,90.12,89.5,90.0,13908.973
2025-06-03 18:00:00,90.0,90.16,89.64,90.13,11162.01
2025-06-03 19:00:00,90.12,90.56,90.05,90.34,13733.684
2025-06-03 20:00:00,90.34,90.36,89.43,89.88,16334.983
2025-06-03 21:00:00,89.87,89.94,88.67,89.0,15068.23
2025-06-03 22:00:00,89.01,89.88,88.92,89.74,9282.954
2025-06-03 23:00:00,89.74,89.9,89.41,89.5,5650.918
2025-06-04 00:00:00,89.49,90.38,89.46,90.38,10901.054
2025-06-04 01:00:00,90.38,90.7,90.05,90.36,21048.381
2025-06-04 02:00:00,90.36,90.73,89.94,90.03,7025.709
2025-06-04 03:00:00,90.03,90.62,89.98,90.4,8360.956
2025-06-04 04:00:00,90.4,90.93,90.38,90.78,7970.297
2025-06-04 05:00:00,90.77,90.81,90.2,90.23,9671.901
2025-06-04 06:00:00,90.24,90.3,89.89,90.17,14266.875
2025-06-04 07:00:00,90.18,90.41,90.06,90.31,7486.495
2025-06-04 08:00:00,90.32,90.68,90.31,90.39,6350.334
2025-06-04 09:00:00,90.38,90.85,90.1,90.84,16849.225
2025-06-04 10:00:00,90.84,90.97,90.63,90.65,12777.419
2025-06-04 11:00:00,90.64,90.78,90.11,90.15,8779.1
2025-06-04 12:00:00,90.15,90.31,89.62,89.92,16952.642
2025-06-04 13:00:00,89.91,90.59,89.8,89.88,15104.048
2025-06-04 14:00:00,89.88,90.18,89.29,90.15,16231.762
2025-06-04 15:00:00,90.15,90.33,89.92,90.04,12892.89
2025-06-04 16:00:00,90.05,90.09,89.67,89.82,7338.042
2025-06-04 17:00:00,89.83,89.84,88.81,89.04,19003.462
2025-06-04 18:00:00,89.05,89.4,89.01,89.18,6989.971
2025-06-04 19:00:00,89.18,89.38,88.91,88.91,7975.225
2025-06-04 20:00:00,88.91,88.93,87.87,88.0,23654.857
2025-06-04 21:00:00,87.99,88.62,87.4,88.4,21941.805
2025-06-04 22:00:00,88.4,88.46,87.67,87.73,10324.231
2025-06-04 23:00:00,87.72,88.2,87.66,87.99,5547.473
2025-06-05 00:00:00,87.98,88.56,87.9,88.43,5877.369
2025-06-05 01:00:00,88.43,88.73,88.33,88.49,4756.719
2025-06-05 02:00:00,88.49,89.05,88.46,88.66,7395.209
2025-06-05 03:00:00,88.67,88.69,88.25,88.36,4315.346
2025-06-05 04:00:00,88.36,88.57,88.17,88.47,6731.435
2025-06-05 05:00:00,88.47,88.49,87.6,87.81,6985.896
2025-06-05 06:00:00,87.81,88.02,87.29,87.39,13768.805
2025-06-05 07:00:00,87.4,87.91,87.22,87.52,13690.43
2025-06-05 08:00:00,87.52,87.97,87.52,87.73,6776.489
2025-06-05 09:00:00,87.74,88.09,87.74,87.94,8963.789
