timestamp,sma_20,sma_50,volatility,momentum,label
2025-06-05 20:00:00,104196.1225,104847.4042,0.0052941747215183715,-0.039710643812261526,buy
2025-06-10 07:00:00,108932.90800000001,107102.5548,0.003875052439843495,-0.005314123319030473,hold
2025-06-11 15:00:00,109660.0615,109347.95959999999,0.002481224651124916,0.004263482426942522,hold
2025-06-12 00:00:00,109208.24649999998,109388.61660000001,0.0019472586977107272,-0.0009306365154895246,sell
2025-06-12 01:00:00,109160.64450000001,109353.67599999999,0.0019389377081839286,-0.002081801233502545,sell
2025-06-12 02:00:00,109100.92,109323.4082,0.0019295135410380205,-0.00464545531008087,sell
2025-06-14 15:00:00,105273.58899999999,105367.34479999999,0.0019106423219074399,-0.0001998812537512551,hold
2025-06-15 06:00:00,105182.94850000001,105175.5636,0.0023738106511500363,-0.001924387747944789,hold
2025-06-15 21:00:00,105363.03899999999,105269.1058,0.0024825598463132986,-0.007163900572164761,buy
2025-06-16 20:00:00,107099.05050000001,106045.8506,0.0022653609728092135,0.011616658994638707,sell
2025-06-21 15:00:00,103554.67,104190.0722,0.0021871226687688464,-0.0027201544017687596,sell
2025-06-23 09:00:00,100568.82999999999,101904.778,0.006904295868734443,0.004088018542790284,buy
2025-07-01 19:00:00,106586.54550000001,107257.69180000002,0.002714070857438065,-0.01319093748355682,buy
2025-07-06 07:00:00,108106.674,108141.9874,0.0006570018877336117,-0.0016442697973770848,hold
2025-07-10 00:00:00,109656.20150000001,108979.936,0.005033934153561458,0.012600093357017395,buy
