timestamp,action
2025-06-02 00:00:00,buy
2025-06-02 02:00:00,buy
2025-06-02 05:00:00,buy
2025-06-02 06:00:00,buy
2025-06-02 09:00:00,buy
2025-06-02 10:00:00,buy
2025-06-02 11:00:00,buy
2025-06-02 12:00:00,buy
2025-06-02 15:00:00,buy
2025-06-02 16:00:00,buy
2025-06-02 18:00:00,buy
2025-06-02 19:00:00,buy
2025-06-04 01:00:00,sell
2025-06-04 03:00:00,sell
2025-06-04 04:00:00,sell
2025-06-04 05:00:00,sell
2025-06-04 06:00:00,sell
2025-06-04 07:00:00,sell
2025-06-04 09:00:00,sell
2025-06-04 20:00:00,sell
2025-06-04 21:00:00,sell
2025-06-04 22:00:00,sell
2025-06-04 23:00:00,sell
2025-06-05 00:00:00,sell
2025-06-05 01:00:00,sell
2025-06-05 02:00:00,sell
2025-06-05 03:00:00,sell
2025-06-05 04:00:00,sell
2025-06-05 05:00:00,sell
2025-06-05 06:00:00,sell
2025-06-05 07:00:00,sell
2025-06-05 08:00:00,sell
2025-06-05 09:00:00,sell
2025-06-05 10:00:00,sell
2025-06-05 11:00:00,sell
2025-06-05 12:00:00,sell
2025-06-05 13:00:00,sell
2025-06-05 14:00:00,sell
2025-06-05 15:00:00,sell
2025-06-05 16:00:00,sell
2025-06-05 17:00:00,sell
2025-06-05 18:00:00,sell
2025-06-05 21:00:00,buy
2025-06-05 23:00:00,buy
2025-06-06 00:00:00,buy
2025-06-06 01:00:00,buy
2025-06-06 06:00:00,buy
2025-06-06 07:00:00,buy
2025-06-06 08:00:00,buy
2025-06-06 09:00:00,buy
2025-06-06 10:00:00,buy
2025-06-06 17:00:00,buy
2025-06-06 19:00:00,buy
2025-06-06 20:00:00,buy
2025-06-06 21:00:00,buy
2025-06-06 22:00:00,buy
2025-06-07 01:00:00,buy
2025-06-08 09:00:00,buy
2025-06-09 00:00:00,buy
2025-06-09 01:00:00,buy
2025-06-09 06:00:00,buy
2025-06-09 10:00:00,buy
2025-06-09 11:00:00,buy
2025-06-09 12:00:00,buy
2025-06-09 15:00:00,buy
2025-06-09 16:00:00,buy
2025-06-09 18:00:00,buy
2025-06-09 20:00:00,buy
2025-06-09 21:00:00,buy
2025-06-09 22:00:00,buy
2025-06-09 23:00:00,buy
2025-06-10 00:00:00,buy
2025-06-10 04:00:00,buy
2025-06-10 05:00:00,buy
2025-06-10 06:00:00,buy
2025-06-10 07:00:00,buy
2025-06-10 08:00:00,buy
2025-06-10 09:00:00,buy
2025-06-10 10:00:00,buy
2025-06-11 06:00:00,sell
2025-06-11 07:00:00,sell
2025-06-11 08:00:00,sell
2025-06-11 09:00:00,sell
2025-06-11 10:00:00,sell
2025-06-11 11:00:00,sell
2025-06-11 12:00:00,sell
2025-06-11 13:00:00,sell
2025-06-11 14:00:00,sell
2025-06-11 15:00:00,sell
2025-06-11 16:00:00,sell
2025-06-11 17:00:00,sell
2025-06-11 18:00:00,sell
2025-06-11 19:00:00,sell
2025-06-11 20:00:00,sell
2025-06-11 21:00:00,sell
2025-06-11 22:00:00,sell
2025-06-11 23:00:00,sell
2025-06-12 00:00:00,sell
2025-06-12 01:00:00,sell
2025-06-12 02:00:00,sell
2025-06-12 03:00:00,sell
2025-06-12 04:00:00,sell
2025-06-12 05:00:00,sell
2025-06-12 06:00:00,sell
2025-06-12 07:00:00,sell
2025-06-12 08:00:00,sell
2025-06-12 09:00:00,sell
2025-06-12 10:00:00,sell
2025-06-12 11:00:00,sell
2025-06-12 12:00:00,sell
2025-06-12 13:00:00,sell
2025-06-12 14:00:00,sell
2025-06-12 15:00:00,sell
2025-06-12 16:00:00,sell
2025-06-12 17:00:00,sell
2025-06-12 18:00:00,sell
2025-06-12 19:00:00,sell
2025-06-12 20:00:00,sell
2025-06-12 21:00:00,sell
2025-06-12 22:00:00,sell
2025-06-12 23:00:00,sell
2025-06-13 01:00:00,buy
2025-06-15 06:00:00,buy
2025-06-15 08:00:00,buy
2025-06-15 09:00:00,buy
2025-06-15 10:00:00,buy
2025-06-15 14:00:00,buy
2025-06-15 16:00:00,buy
2025-06-15 17:00:00,buy
2025-06-15 19:00:00,buy
2025-06-15 20:00:00,buy
2025-06-15 21:00:00,buy
2025-06-15 22:00:00,buy
2025-06-16 00:00:00,buy
2025-06-16 01:00:00,buy
2025-06-16 04:00:00,buy
2025-06-16 13:00:00,sell
2025-06-16 14:00:00,sell
2025-06-16 15:00:00,sell
2025-06-16 16:00:00,sell
2025-06-16 17:00:00,sell
2025-06-16 18:00:00,sell
2025-06-16 19:00:00,sell
2025-06-16 20:00:00,sell
2025-06-16 21:00:00,sell
2025-06-16 22:00:00,sell
2025-06-16 23:00:00,sell
2025-06-17 00:00:00,sell
2025-06-17 01:00:00,sell
2025-06-17 02:00:00,sell
2025-06-17 03:00:00,sell
2025-06-17 04:00:00,sell
2025-06-17 05:00:00,sell
2025-06-17 06:00:00,sell
2025-06-17 07:00:00,sell
2025-06-17 19:00:00,sell
2025-06-18 00:00:00,sell
2025-06-18 03:00:00,sell
2025-06-18 04:00:00,sell
2025-06-18 05:00:00,sell
2025-06-18 06:00:00,sell
2025-06-18 07:00:00,sell
2025-06-18 08:00:00,sell
2025-06-18 09:00:00,sell
2025-06-18 20:00:00,sell
2025-06-18 21:00:00,sell
2025-06-19 18:00:00,sell
2025-06-19 22:00:00,sell
2025-06-20 12:00:00,sell
2025-06-20 13:00:00,sell
2025-06-20 18:00:00,buy
2025-06-20 21:00:00,sell
2025-06-20 22:00:00,sell
2025-06-20 23:00:00,sell
2025-06-21 00:00:00,sell
2025-06-21 01:00:00,sell
2025-06-21 02:00:00,sell
2025-06-21 03:00:00,sell
2025-06-21 04:00:00,sell
2025-06-21 05:00:00,sell
2025-06-21 06:00:00,sell
2025-06-21 07:00:00,sell
2025-06-21 08:00:00,sell
2025-06-21 09:00:00,sell
2025-06-21 10:00:00,sell
2025-06-21 11:00:00,sell
2025-06-21 12:00:00,sell
2025-06-21 13:00:00,sell
2025-06-21 14:00:00,sell
2025-06-21 15:00:00,sell
2025-06-21 16:00:00,sell
2025-06-21 17:00:00,sell
2025-06-21 18:00:00,sell
2025-06-21 19:00:00,sell
2025-06-21 20:00:00,sell
2025-06-21 21:00:00,sell
2025-06-21 22:00:00,sell
2025-06-21 23:00:00,sell
2025-06-22 00:00:00,sell
2025-06-22 01:00:00,sell
2025-06-22 02:00:00,sell
2025-06-22 03:00:00,sell
2025-06-22 04:00:00,sell
2025-06-22 05:00:00,sell
2025-06-22 06:00:00,sell
2025-06-22 07:00:00,sell
2025-06-22 08:00:00,sell
2025-06-22 09:00:00,sell
2025-06-22 10:00:00,sell
2025-06-22 11:00:00,sell
2025-06-22 12:00:00,sell
2025-06-22 13:00:00,buy
2025-06-22 14:00:00,sell
2025-06-22 15:00:00,buy
2025-06-22 17:00:00,buy
2025-06-22 18:00:00,buy
2025-06-22 19:00:00,buy
2025-06-22 20:00:00,buy
2025-06-22 21:00:00,buy
2025-06-22 22:00:00,buy
2025-06-22 23:00:00,buy
2025-06-23 00:00:00,buy
2025-06-23 01:00:00,buy
2025-06-23 02:00:00,buy
2025-06-23 06:00:00,buy
2025-06-23 07:00:00,buy
2025-06-23 08:00:00,buy
2025-06-23 09:00:00,buy
2025-06-23 13:00:00,sell
2025-06-23 15:00:00,buy
2025-06-23 19:00:00,buy
2025-06-23 20:00:00,buy
2025-06-23 22:00:00,buy
2025-06-24 02:00:00,buy
2025-06-24 03:00:00,buy
2025-06-24 04:00:00,buy
2025-06-24 16:00:00,sell
2025-06-25 13:00:00,sell
2025-06-26 17:00:00,buy
2025-06-27 00:00:00,buy
2025-06-28 08:00:00,buy
2025-06-28 12:00:00,buy
2025-06-28 13:00:00,buy
2025-06-28 22:00:00,buy
2025-06-29 00:00:00,buy
2025-06-29 02:00:00,buy
2025-06-29 03:00:00,buy
2025-06-29 05:00:00,buy
2025-06-29 06:00:00,buy
2025-06-29 07:00:00,buy
2025-06-29 12:00:00,buy
2025-06-29 13:00:00,buy
2025-06-29 15:00:00,buy
2025-06-29 16:00:00,buy
2025-06-29 18:00:00,buy
2025-06-29 20:00:00,buy
2025-06-29 21:00:00,buy
2025-06-29 22:00:00,sell
2025-06-29 23:00:00,sell
2025-06-30 00:00:00,sell
2025-06-30 19:00:00,sell
2025-06-30 20:00:00,sell
2025-07-01 16:00:00,buy
2025-07-01 17:00:00,buy
2025-07-01 18:00:00,buy
2025-07-01 19:00:00,buy
2025-07-01 20:00:00,buy
2025-07-01 21:00:00,buy
2025-07-01 22:00:00,buy
2025-07-01 23:00:00,buy
2025-07-02 00:00:00,buy
2025-07-02 02:00:00,buy
2025-07-02 03:00:00,buy
2025-07-02 09:00:00,buy
2025-07-02 10:00:00,buy
2025-07-02 11:00:00,buy
2025-07-02 12:00:00,buy
2025-07-02 13:00:00,buy
2025-07-02 14:00:00,buy
2025-07-02 17:00:00,buy
2025-07-03 00:00:00,buy
2025-07-03 02:00:00,buy
2025-07-03 03:00:00,buy
2025-07-03 06:00:00,sell
2025-07-03 07:00:00,sell
2025-07-03 08:00:00,sell
2025-07-03 09:00:00,sell
2025-07-03 10:00:00,sell
2025-07-03 11:00:00,sell
2025-07-03 12:00:00,sell
2025-07-03 13:00:00,sell
2025-07-03 14:00:00,sell
2025-07-03 15:00:00,sell
2025-07-03 16:00:00,sell
2025-07-03 17:00:00,sell
2025-07-03 18:00:00,sell
2025-07-03 19:00:00,sell
2025-07-03 20:00:00,sell
2025-07-03 21:00:00,sell
2025-07-03 22:00:00,sell
2025-07-03 23:00:00,sell
2025-07-04 00:00:00,sell
2025-07-04 01:00:00,sell
2025-07-04 02:00:00,sell
2025-07-04 03:00:00,sell
2025-07-04 04:00:00,sell
2025-07-04 05:00:00,sell
2025-07-04 06:00:00,sell
2025-07-05 18:00:00,buy
2025-07-07 18:00:00,buy
2025-07-07 21:00:00,buy
2025-07-07 22:00:00,buy
2025-07-08 00:00:00,buy
2025-07-08 02:00:00,buy
2025-07-08 05:00:00,buy
2025-07-08 06:00:00,buy
2025-07-08 08:00:00,buy
2025-07-08 09:00:00,buy
2025-07-08 10:00:00,buy
2025-07-08 11:00:00,buy
2025-07-08 12:00:00,buy
2025-07-08 13:00:00,buy
2025-07-08 15:00:00,buy
2025-07-08 16:00:00,buy
2025-07-08 17:00:00,buy
2025-07-08 19:00:00,buy
2025-07-08 20:00:00,buy
2025-07-08 21:00:00,buy
2025-07-09 00:00:00,buy
2025-07-09 01:00:00,buy
2025-07-09 02:00:00,buy
2025-07-09 03:00:00,buy
2025-07-09 04:00:00,buy
2025-07-09 08:00:00,buy
2025-07-09 09:00:00,buy
2025-07-09 11:00:00,buy
2025-07-09 19:00:00,buy
2025-07-09 20:00:00,buy
2025-07-09 22:00:00,buy
2025-07-09 23:00:00,buy
2025-07-10 00:00:00,buy
2025-07-10 01:00:00,buy
2025-07-10 02:00:00,buy
2025-07-10 06:00:00,buy
2025-07-10 07:00:00,buy
2025-07-10 08:00:00,buy
2025-07-10 11:00:00,buy
2025-07-10 12:00:00,buy
2025-07-10 13:00:00,buy
2025-07-10 14:00:00,buy
2025-07-10 15:00:00,buy
2025-07-10 17:00:00,buy
2025-07-10 18:00:00,buy
2025-07-10 20:00:00,buy
2025-07-10 21:00:00,buy
2025-07-10 22:00:00,buy
2025-07-11 00:00:00,buy
2025-07-11 01:00:00,buy
2025-07-11 02:00:00,buy
2025-07-11 03:00:00,buy
